Column 5,Column 6
rukuriri,girls_und_panzer
haruna_(kantai_collection),kantai_collection
sukuna_shinmyoumaru,touhou
naganohara_mio,nichijou
hatsune_miku,vocaloid
ushiromiya_jessica,umineko_no_naku_koro_ni
souryuu_asuka_langley,neon_genesis_evangelion
suigintou,rozen_maiden
komaki_manaka,to_heart_2
cirno,touhou
maribel_hearn,touhou
mizuho_(kantai_collection),kantai_collection
amagi_(kantai_collection),kantai_collection
fujinami_(kantai_collection),kantai_collection
shigure_(kantai_collection),kantai_collection
kiyoshimo_(kantai_collection),kantai_collection
oyashio_(kantai_collection),kantai_collection
akashi_(kantai_collection),kantai_collection
shiratsuyu_(kantai_collection),kantai_collection
asagumo_(kantai_collection),kantai_collection
sazanami_(kantai_collection),kantai_collection
asashio_(kantai_collection),kantai_collection
kumano_(kantai_collection),kantai_collection
iowa_(kantai_collection),kantai_collection
admiral_(kantai_collection),kantai_collection
komeiji_koishi,touhou
tatara_kogasa,touhou
komeiji_satori,touhou
light_cruiser_oni,kantai_collection
prinz_eugen_(kantai_collection),kantai_collection
ta-class_battleship,kantai_collection
akitsu_maru_(kantai_collection),kantai_collection
hong_meiling,touhou
chevalier_d'eon_(fate/grand_order),fate_(series)
houraisan_kaguya,touhou
seaport_hime,kantai_collection
flandre_scarlet,touhou
remilia_scarlet,touhou
toramaru_shou,touhou
jack_the_ripper_(fate/apocrypha),fate_(series)
imaizumi_kagerou,touhou
hakamada_hinata,rou-kyuu-bu!
misaki_mei,another
kinoshita_hideyoshi,baka_to_test_to_shoukanjuu
sonya_(kill_me_baby),kill_me_baby
furukawa_sanae,clannad
fujibayashi_kyou,clannad
yui_(angel_beats!),angel_beats!
amami_haruka,megami
akiyama_mio,k-on!
morishima_haruka,amagami
akiha_rumiho,steins;gate
iwasawa,angel_beats!
toujou_nozomi,love_live!_school_idol_project
misaka_mikoto,to_aru_majutsu_no_index
yazawa_nico,megami
ayatsuji_tsukasa,nyantype
zemi_mama,shinken-zemi
suzumiya_haruhi,suzumiya_haruhi_no_yuuutsu
noumi_kudryavka,nyantype
shirakawa_kotori,megami
kanoe_yuuko,tasogare_otome_x_amnesia
victorica_de_blois,nyantype
miki_sayaka,megami
nagato_yuki,suzumiya_haruhi_no_yuuutsu
amayadori_machi,megami
arcueid_brunestud,tsukihime
tsukimiya_ayu,kanon_2002
zenigata_mawari,seto_no_hanayome
kohaku,tsukihime
suiseiseki,rozen_maiden
hanyuu,suzumiya_haruhi_no_yuuutsu
chikage_(sister_princess),sister_princess
yuzuhara_haruka,to_heart_2
kousaka_tamaki,to_heart_2
yomiko_readman,read_or_die
kamio_misuzu,air
kazami_yuuka,touhou
sonsaku_hakufu,ikkitousen
minase_iori,idolmaster_xenoglossia
dizzy,guilty_gear
xp-tan,os-tan
hisui,tsukihime
hoshino_yuumi,kimi_kiss
takamachi_nanoha,mahou_shoujo_lyrical_nanoha
akagi_shigeru,akagi
kamikita_komari,little_busters!
hiiragi_tsukasa,lucky_star
me-tan,os-tan
mizuhashi_parsee,touhou
toono_akiha,tsukihime
chii,chobits
barasuishou,rozen_maiden
milfeulle_sakuraba,galaxy_angel
hinasaki_miku,fatal_frame_3
kagurazaka_asuna,mahou_sensei_negima!
ogiue_chika,genshiken
stellar_loussier,gundam_seed_destiny
hiiragi_kagami,lucky_star
furukawa_nagisa,clannad
shimon,shimotsuma
feena_fam_earthlight,yoake_mae_yori_ruri_iro_na
yagami_hayate,mahou_shoujo_lyrical_nanoha_strikers
tsuruya,suzumiya_haruhi_no_yuuutsu
alice_margatroid,touhou
2k-tan,os-tan
ayanami_rei,neon_genesis_evangelion
misaka_shiori,kanon
kallen_stadtfeld,code_geass
fate_testarossa,mahou_shoujo_lyrical_nanoha
kotonomiya_yuki,suigetsu
bikko,original
sonozaki_shion,higurashi_no_naku_koro_ni
minazuki_karen,yes!_precure_5
mizunashi_akari,aria
shinku,rozen_maiden
asahina_mikuru,suzumiya_haruhi_no_yuuutsu
lucy_maria_misora,to_heart_2
rebecca_miyamoto,pani_poni_dash!
kusugawa_sasara,to_heart_2
hakurei_reimu,touhou
miyashiro_karin,suigetsu
rider,fate_(series)
ryuuguu_rena,higurashi_no_naku_koro_ni
anemone_(eureka_seven),eureka_seven_(series)
ginko,mushishi
pixiv-tan,pixiv
alice_carroll,aria
louise_francoise_le_blanc_de_la_valliere,zero_no_tsukaima
kusakabe_misao,lucky_star
minase_akiko,kanon
hieda_no_akyuu,touhou
kimidori_emiri,suzumiya_haruhi_no_yuuutsu
rena_lanford,star_ocean_the_second_story
sonozaki_mion,higurashi_no_naku_koro_ni
asakura_ryouko,suzumiya_haruhi_no_yuuutsu
nagi,kannagi
takano_miyo,higurashi_no_naku_koro_ni
takara_miyuki,lucky_star
mizuno_ami,bishoujo_senshi_sailor_moon
shijou_mitsuki,kimi_kiss
arima_senne,original
kanzuki_karin,street_fighter
ciel,tsukihime
hatena_yousei,benesse
watarase_jun,happiness!
len,tsukihime
caren_hortensia,fate_(series)
reisen_udongein_inaba,touhou
sion_eltnam_atlasia,tsukihime
shalon,quiz_magic_academy
kurata_sayuri,kanon
ogasawara_sachiko,maria-sama_ga_miteru
toosaka_rin,fate_(series)
kotona_elegance,zoids_genesis
sawatari_makoto,kanon_2006
konpaku_youmu,touhou
ilfa,to_heart_2
kasuga_ayumu,azumanga_daiou
otonashi_saya,blood+
yumizuka_satsuki,tsukihime
eruruw,utawareru_mono
shimazu_yoshino,maria-sama_ga_miteru
chun-li,street_fighter
aozaki_aoko,tsukihime
nanasaki_ai,amagami
kyonko,suzumiya_haruhi_no_yuuutsu
hoshii_miki,idolmaster_live_for_you!
kisaragi_chihaya,idolmaster_1
tifa_lockhart,final_fantasy_vii
aruruw,utawareru_mono
wriggle_nightbug,touhou
yakumo_yukari,touhou
enma_ai,jigoku_shoujo
akizuki_ritsuko,idolmaster_1
shigure_asa,shuffle!
kazami_mizuho,onegai_teacher
saya,saya_no_uta
akiba_rika,hanbun_no_tsuki_ga_noboru_sora
mizusawa_mao,kimi_kiss
onozuka_komachi,touhou
selvaria_bles,senjou_no_valkyria_1
yuuki_nao,my-hime
c.c.,code_geass
fujisawa_yayoi_(uchuu_no_stellvia),uchuu_no_stellvia
bulleta,vampire_(game)
yuzuhara_konomi,to_heart_2
link,the_legend_of_zelda:_twilight_princess
kuchiki_rukia,bleach
caster,fate_(series)
hosokawa_kanako,maria-sama_ga_miteru
minato,zegapain
matsudaira_touko,maria-sama_ga_miteru
toudou_shimako,maria-sama_ga_miteru
emiya_shirou,fate_(series)
sakuya_(sister_princess),sister_princess
izayoi_sakuya,touhou
shirley_fenette,code_geass
shamal,"""mahou_shoujo_lyrical_nanoha_a's"
henrietta_(gunslinger_girl),gunslinger_girl
andou_mahoro,mahoromatic
ruquia,quiz_magic_academy
leonne,fushigiboshi_no_futago_hime
reinforce,"""mahou_shoujo_lyrical_nanoha_a's"
kikuchi_makoto,idolmaster_1
komaki_ikuno,to_heart_2
wang_liu_mei,gundam_00
fujimura_taiga,fate_(series)
nekomiya_nono,yotsunoha
fuyou_kaede,shuffle!
evangeline_a_k_mcdowell,mahou_sensei_negima!
tonami_yuma,to_heart_2
tsumura_tokiko,busou_renkin
amasawa_yuuko,dennou_coil
shameimaru_aya,touhou
hazuki_(tsukuyomi),tsukuyomi_moonphase
izumi_konata,lucky_star
